candidate_id,rank,score,reasoning
CAND_0081846,1,1.446573,"Lead AI Engineer with 6.7 years of experience. Current claim: building hybrid search systems, dense/sparse retrieval layers, and configuring offline evaluation frameworks. Profile exactly matches the JD's retrieval/ranking focus. Based in Jaipur, Rajasthan (not Pune/Noida)."
CAND_0061257,2,1.388367,Staff Machine Learning Engineer with 8.0 years of experience. Current claim: optimizing operational ranking functions and balancing data lifecycle streams with strict online system checks. Profile exactly matches the JD's retrieval/ranking focus.
CAND_0076412,3,1.063887,AI Research Engineer with 5.8 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. 120-day notice period is a concern.
CAND_0019288,4,0.93977,AI Research Engineer with 5.7 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Immediately available.
CAND_0089470,5,0.896107,AI Research Engineer with 6.5 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Strong background at a top-tier product company.
CAND_0027218,6,0.843227,AI Research Engineer with 4.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company.
CAND_0051466,7,0.825842,"AI Research Engineer with 5.3 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. Based in Trivandrum, Kerala (not Pune/Noida)."
CAND_0033179,8,0.812412,"AI Research Engineer with 6.9 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0059795,9,0.811384,"Senior Software Engineer (ML) with 5.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company. Based in Mumbai, Maharashtra (not Pune/Noida)."
CAND_0073883,10,0.763366,"AI Specialist with 5.3 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Chandigarh, Chandigarh (not Pune/Noida)."
CAND_0036484,11,0.763108,"AI Research Engineer with 5.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0065139,12,0.754266,"AI Research Engineer with 5.2 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Strong background at a top-tier product company. Based in Bhubaneswar, Odisha (not Pune/Noida)."
