candidate_id,rank,score,reasoning
CAND_0081846,1,1.446573,"Lead AI Engineer with 6.7 years of experience. Current claim: building hybrid search systems, dense/sparse retrieval layers, and configuring offline evaluation frameworks. top skills: Embeddings (95mo) + Information Retrieval (93mo). key: JD template match (1.50x) signals: YoE fit 1.00x | availability 1.35x | notice 1.15x | location 0.93x | GitHub 1.06x | career quality 1.15x | skill depth 1.15x | JD template 1.50x. friction: based in Jaipur, Rajasthan (not Pune/Noida)"
CAND_0061257,2,1.388367,Staff Machine Learning Engineer with 8.0 years of experience. Current claim: optimizing operational ranking functions and balancing data lifecycle streams with strict online system checks. top skills: Python (72mo) + Machine Learning (61mo). key: JD template match (1.50x) signals: YoE fit 1.00x | availability 1.33x | notice 1.15x | location 1.10x | GitHub 1.12x | career quality 1.32x | skill depth 1.10x | JD template 1.50x. available with short notice.
CAND_0076412,3,1.063887,AI Research Engineer with 5.8 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: Semantic Search (54mo) + Machine Learning (46mo). key: company pedigree (1.30x) signals: YoE fit 0.95x | availability 1.19x | notice 0.85x | location 1.10x | GitHub 1.15x | career quality 1.30x | skill depth 1.10x | JD template 1.00x. friction: 120-day notice
CAND_0019288,4,0.93977,AI Research Engineer with 5.7 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: pgvector (40mo) + OpenSearch (40mo). key: availability (1.31x) signals: YoE fit 0.95x | availability 1.31x | notice 1.15x | location 1.10x | GitHub 1.00x | career quality 1.15x | skill depth 1.12x | JD template 1.00x. available with short notice.
CAND_0089470,5,0.896107,AI Research Engineer with 6.5 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: Weaviate (50mo) + Deep Learning (22mo). key: company pedigree (1.19x) signals: YoE fit 1.00x | availability 1.01x | notice 1.05x | location 1.10x | GitHub 1.00x | career quality 1.19x | skill depth 1.05x | JD template 1.00x. not marked open-to-work.
CAND_0027218,6,0.843227,AI Research Engineer with 4.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Deep Learning (49mo) + Haystack (44mo). key: company pedigree (1.26x) signals: YoE fit 0.80x | availability 1.19x | notice 1.05x | location 1.10x | GitHub 1.15x | career quality 1.26x | skill depth 1.05x | JD template 1.00x. friction: weaker experience fit (0.80x)
CAND_0051466,7,0.825842,"AI Research Engineer with 5.3 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: Hugging Face Transformers (56mo) + PyTorch (53mo). key: company pedigree (1.30x) signals: YoE fit 0.95x | availability 1.29x | notice 1.05x | location 0.93x | GitHub 1.06x | career quality 1.30x | skill depth 1.10x | JD template 1.00x. friction: based in Trivandrum, Kerala (not Pune/Noida)"
CAND_0033179,8,0.812412,"AI Research Engineer with 6.9 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: scikit-learn (46mo) + Information Retrieval (38mo). key: availability (1.46x) signals: YoE fit 1.00x | availability 1.46x | notice 1.15x | location 0.93x | GitHub 1.00x | career quality 1.01x | skill depth 1.12x | JD template 1.00x. friction: based in Ahmedabad, Gujarat (not Pune/Noida)"
CAND_0059795,9,0.811384,"Senior Software Engineer (ML) with 5.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Machine Learning (49mo) + Hugging Face Transformers (42mo). key: company pedigree (1.28x) signals: YoE fit 0.95x | availability 1.26x | notice 1.05x | location 0.97x | GitHub 1.15x | career quality 1.28x | skill depth 1.05x | JD template 1.00x. friction: based in Mumbai, Maharashtra (not Pune/Noida)"
CAND_0073883,10,0.763366,AI Specialist with 5.3 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: PEFT (31mo) + Haystack (26mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.18x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0036484,11,0.763108,AI Research Engineer with 5.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Qdrant (53mo) + Machine Learning (42mo). key: availability (1.26x) signals: YoE fit 0.95x | availability 1.26x | notice 1.00x | location 0.93x | GitHub 1.00x | career quality 1.24x | skill depth 1.10x | JD template 1.00x. friction: 90-day notice
